host,name
elong.com,['携程艺龙']
www.jintiankansha.me,['看什么']
liupanshui.ganji.com,['58赶集']
www.58.com,['58赶集']
www.bjswhotel.com,['商务会馆']
www.variflight.com,['飞常准']
passport.tujia.com,['途家']
plan.qyer.com,['穷游网']
search.qyer.com,['穷游网']
cruise.ctrip.com,['产品预订']
www.visitrovaniemi.fi,['何时出发']
www.0460.com,['万达旅业']
www.wdxhx.com,['万达旅业']
ly-demo.wanda.cn,['万达旅业']
lxs.cncn.com,['地接社']
z.xiziwang.net,['蜜蜂窝']
www.sanqin.com,['捅掉']
www.indigo-imaging.com,['英迪格']
www.wanzhoumo.com,['周末去哪']
piao.qunar.com,['周末去哪']
wx.bendibao.com,['周末去哪']
jt.rsscc.com,['高铁管家']
www.xiaoyuanju.com,['捅出']
www.hkctshotels.com,['维景酒店']
www.grandhotelbeijing.com,['贵宾楼']
huodong.ctrip.com,['当地玩乐']
tour.aoyou.com,['当地玩乐']
ir.ctrip.com,['携程投资']
hotel.8684.cn,['汉庭快捷酒店']
www.moguding.net,['蘑菇顶']
www.53.com.cn,['华天之星']
www.1637.com,['华天之星']
www.futurehotel.com,['未来酒店']
danci.911cha.com,['想去哪儿']
www.1688e.com,"['商务型酒店', '汉庭客栈']"
www.thepaper.cn,['航司']
cn.mandarinoriental.com,['文华东方']
www.huizuche.com,['惠租车']
muniao.com,['木鸟短租']
www.loveinhere.com,['在这儿']
www.shoufuyou.com,['首付游']
weibo.com,['首付游']
t.qianzhan.com,['签约酒店']
www.45575.com,['用石头砸']
www.baozun.com,['宝尊电商']
www.qianzhan.com,['携程系']
www.quanlaoda.com,['糯米网']
www.66law.cn,['途牛则']
summary.jrj.com.cn,['酒店板块']
money.163.com,['酒店板块']
www.conrad.com.cn,['康莱德']
www.tianyancha.com,['铂涛旅行']
